setting,method,deaths_mean,deaths_std,runtime_sec,gamma
beta_0.04,OC-Guided,14.8,4.0,22.0,-
beta_0.04,Node RL,14.2,5.8,161.8,0.99
beta_0.04,Naive RL,14.3,3.7,181.5,0.99
beta_0.06,OC-Guided,21.5,3.2,15.9,-
beta_0.06,Node RL,20.1,4.7,135.9,0.99
beta_0.06,Naive RL,22.8,3.4,149.0,0.99
beta_0.08,OC-Guided,25.5,3.7,8.4,-
beta_0.08,Node RL,25.5,4.2,116.1,0.99
beta_0.08,Naive RL,27.2,5.7,127.4,0.99
beta_0.10,OC-Guided,29.6,4.4,14.6,-
beta_0.10,Node RL,31.5,3.2,95.4,0.99
beta_0.10,Naive RL,33.0,5.6,105.4,0.99
beta_0.12,OC-Guided,36.0,5.2,14.2,-
beta_0.12,Node RL,33.2,6.2,80.0,0.99
beta_0.12,Naive RL,30.9,4.8,90.0,0.99
beta_0.15,OC-Guided,36.1,7.2,16.5,-
beta_0.15,Node RL,38.2,4.2,62.9,0.99
beta_0.15,Naive RL,37.0,5.2,70.3,0.99
